club,type,target,total,side,target_total,total_roll,total_side
7i,Approach,155,154,9,160,159,9
7i,Approach,155,155,19,160,160,20
7i,Approach,155,154,6,160,159,7
7i,Approach,155,154,4,160,159,4
7i,Approach,155,162,-12,160,167,-12
7i,Approach,155,163,-3,160,168,-3
7i,Approach,155,144,17,160,149,18
7i,Approach,155,155,-6,160,160,-6
PW,Approach,128,127,5,130,129,5
PW,Approach,128,124,3,130,126,3
PW,Approach,128,125,5,130,127,5
PW,Approach,128,128,-4,130,130,-4
PW,Approach,128,127,8,130,129,8
PW,Approach,128,131,-5,130,133,-5
PW,Approach,128,128,4,130,130,4
PW,Approach,128,133,-10,130,135,-10
PW,Approach,128,129,-3,130,131,-3
PW,Approach,128,127,8,130,129,8
PW,Approach,128,130,-5,130,132,-5
PW,Approach,128,125,1,130,127,1
PW,Approach,128,129,1,130,131,1
PW,Approach,128,128,-8,130,130,-8
PW,Approach,128,121,15,130,123,15
PW,Approach,128,132,-3,130,134,-3
PW,Approach,128,129,-2,130,131,-2
PW,Approach,128,129,-1,130,131,-1
PW,Approach,128,130,-1,130,132,-1
PW,Approach,128,127,8,130,129,8
PW,Approach,128,131,-9,130,133,-9
PW,Approach,128,125,-7,130,127,-7
PW,Approach,128,128,-4,130,130,-4
PW,Approach,128,130,-5,130,132,-5
PW,Approach,128,127,3,130,129,3
PW,Approach,128,127,4,130,129,4
PW,Approach,128,129,-4,130,131,-4
PW,Approach,128,123,11,130,125,11
PW,Approach,128,126,2,130,128,2
PW,Approach,128,125,7,130,127,7
PW,Approach,128,131,-5,130,133,-5
PW,Approach,128,127,8,130,129,8
PW,Approach,128,131,-10,130,133,-10
PW,Approach,128,124,4,130,126,4
PW,Approach,128,131,-6,130,133,-6
54,Approach,98,98,8,100,100,8
54,Approach,98,97,3,100,99,4
54,Approach,98,97,0,100,99,0
54,Approach,98,96,5,100,98,5
54,Approach,98,98,7,100,100,7
54,Approach,98,98,3,100,100,3
54,Approach,98,100,4,100,102,4
54,Approach,98,96,0,100,98,0
54,Approach,98,99,-7,100,101,-7
54,Approach,98,99,-2,100,101,-3
54,Approach,98,103,2,100,105,2
54,Approach,98,96,6,100,98,6
54,Approach,98,96,2,100,98,2
54,Approach,98,98,3,100,100,3
54,Approach,98,98,-4,100,100,-4
54,Approach,98,97,-1,100,99,-1
54,Approach,98,99,-7,100,101,-7
54,Approach,98,96,-3,100,98,-4
54,Approach,98,98,-1,100,100,-1
54,Approach,98,100,-1,100,102,-1
54,Approach,98,97,-2,100,99,-2
54,Approach,98,100,-2,100,102,-3
54,Approach,98,98,1,100,100,1
54,Approach,98,99,6,100,101,6
54,Approach,98,97,-2,100,99,-2
54,Approach,98,96,3,100,98,3
54,Approach,98,100,6,100,102,6
54,Approach,98,99,3,100,101,3
54,Approach,98,99,-3,100,101,-3
54,Approach,98,99,0,100,101,0
54,Approach,98,97,0,100,99,0
54,Approach,98,96,9,100,98,9
54,Approach,98,95,6,100,97,7
54,Approach,98,98,-1,100,100,-1
54,Approach,98,101,-8,100,103,-8
58,Approach,73,71,3,75,73,3
58,Approach,73,74,2,75,76,2
58,Approach,73,71,6,75,73,6
58,Approach,73,73,5,75,75,5
58,Approach,73,73,-1,75,75,-1
58,Approach,73,73,-4,75,75,-4
58,Approach,73,71,1,75,73,1
58,Approach,73,72,8,75,74,8
58,Approach,73,75,-3,75,77,-3
58,Approach,73,72,3,75,74,3
58,Approach,73,72,-2,75,74,-2
58,Approach,73,72,3,75,74,3
58,Approach,73,73,-2,75,75,-2
58,Approach,73,75,-3,75,77,-3
58,Approach,73,72,0,75,74,0
58,Approach,73,75,-1,75,77,-1
58,Approach,73,72,-2,75,74,-2
58,Approach,73,72,2,75,74,2
58,Approach,73,72,1,75,74,1
58,Approach,73,70,2,75,72,2
58,Approach,73,73,-3,75,75,-3
58,Approach,73,74,-5,75,76,-5
58,Approach,73,71,2,75,73,2
58,Approach,73,71,3,75,73,3
58,Approach,73,73,-2,75,75,-2
58,Approach,73,73,0,75,75,0
58,Approach,73,74,-3,75,76,-3
58,Approach,73,71,1,75,73,1
58,Approach,73,73,3,75,75,4
58,Approach,73,74,1,75,76,1
58,Approach,73,75,-4,75,77,-4
58,Approach,73,72,1,75,74,1
58,Approach,73,74,2,75,76,2
58,Approach,73,74,-1,75,76,-1
58,Approach,73,73,1,75,75,1
