Club,Type ,Target ,Total,Side
50,Approach,120,121,-10
50,Approach,120,119,8
50,Approach,120,120,-7
50,Approach,120,120,5
50,Approach,120,119,-3
50,Approach,120,120,10
50,Approach,120,121,-2
50,Approach,120,120,6
50,Approach,120,119,-4
50,Approach,120,120,4
50,Approach,120,120,-5
50,Approach,120,119,6
50,Approach,120,120,-3
50,Approach,120,121,5
50,Approach,120,120,-4
50,Approach,120,120,3
50,Approach,120,119,-2
50,Approach,120,120,4
50,Approach,120,120,-1
50,Approach,120,119,3
54,Approach,110,111,-10
54,Approach,110,109,8
54,Approach,110,110,-7
54,Approach,110,110,5
54,Approach,110,109,-3
54,Approach,110,110,10
54,Approach,110,111,-2
54,Approach,110,110,6
54,Approach,110,109,-4
54,Approach,110,110,4
54,Approach,110,110,-5
54,Approach,110,109,6
54,Approach,110,110,-3
54,Approach,110,111,5
54,Approach,110,110,-4
54,Approach,110,110,3
54,Approach,110,109,-2
54,Approach,110,110,4
54,Approach,110,110,-1
54,Approach,110,109,3
58,Approach,100,101,-10
58,Approach,100,99,8
58,Approach,100,100,-7
58,Approach,100,100,5
58,Approach,100,99,-3
58,Approach,100,100,10
58,Approach,100,101,-2
58,Approach,100,100,6
58,Approach,100,99,-4
58,Approach,100,100,4
58,Approach,100,100,-5
58,Approach,100,99,6
58,Approach,100,100,-3
58,Approach,100,101,5
58,Approach,100,100,-4
58,Approach,100,100,3
58,Approach,100,99,-2
58,Approach,100,100,4
58,Approach,100,100,-1
58,Approach,100,99,3
